headline,description,sentiment
The ancient reason there are 60 minutes in an hour,No description provided.,Neutral
The deep cave bacteria resistant to modern medicine,No description provided.,Neutral
The Drama's horrifying twist will divide audiences,"Zendaya and Robert Pattinson's new film about a soon-to-be married couple is a romcom with a disturbing difference. The result is 2026's ""first great cinematic conversation-starter"".",Negative
Arlo Parks: 'I got out of my head and into my body',No description provided.,Neutral
The centuries-old origins of current fairy fiction,No description provided.,Neutral
Taylor Swift pays homage to Elizabeth Taylor with surprise music video,No description provided.,Postive
These artworks are by women - men got the credit,"For centuries, The Triumph of Bacchus was misattributed then hidden – now it is at the centre of a major exhibition. Here are five groundbreaking artworks wrongly attributed to men.",Postive
The dark side of the US's most divisive painter,No description provided.,Neutral
Who is Banksy? Unmasking the elusive street artist,No description provided.,Neutral
The hoax that shook Australian literature,No description provided.,Negative
Apple at 50: The tech devices that defined a generation,No description provided.,Neutral
An Easter crime fiction wave is sweeping Norway,"Visitors to Norway during Easter might find the streets emptier than usual, thanks to the nation's cherished Eastertime obsession: retreating to isolated cabins to binge crime novels.",Negative
Slowjamastan: The new 'nation' hiding in the US,No description provided.,Negative
This is the year to visit Morocco's quiet capital,No description provided.,Neutral
The road signs that teach travellers about France,No description provided.,Neutral
Inside the Turkish city built on 'green gold',"For centuries, pistachios have defined Gaziantep. Today, they remain the most prized ingredient in Turkey's culinary capital – and the secret behind its legendary baklava.",Postive
The rare 'dinosaur egg' returning from extinction,No description provided.,Neutral
Congee to consommé: Why every culture has a healing broth,No description provided.,Neutral
How 'Yakult Ladies' became a lifeline in ageing Japan,No description provided.,Neutral
A rogue mushroom is tearing through US forests,"The unstoppable golden oyster is ripping through woodland, after escaping from cultivation. As it runs riot, mushroom enthusiasts are rescuing the native fungi in its path.",Negative
The delicate question of where responsibility lies for safety on UK mountains,No description provided.,Postive
One ant for $220: The new frontier of wildlife trafficking,No description provided.,Neutral
In photos: A pesticide tragedy that haunts an Indian state,No description provided.,Negative
Quarterly earnings to shed light on economic impact of war,The major US stock markets open higher despite rising oil prices amid the ongoing war on Iran.,Negative
Life after the wildfires in the Rockies,No description provided.,Neutral
The video game bringing medieval Europe back to life,No description provided.,Neutral
Prehistoric footprints reveal a mother's perilous journey,No description provided.,Neutral
Sign up to Tech Decoded,"Decode the biggest developments in global technology, in your inbox every Monday and Friday.",Neutral
Download the BBC app,Click here to download the BBC app for Apple and Android devices.,Neutral
US Politics Unspun,"No noise. No agenda. Just expert analysis of the issues that matter most from Anthony Zurcher, every Wednesday.",Negative
Register for a BBC account,Don't have time to read everything right now? Your BBC account lets you save articles and videos for later.,Postive
Sign up for the Essential List,"The week's best stories, handpicked by BBC editors, in your inbox every Tuesday and Friday.",Postive
